PR_AUC,MRR,HitsAt10,HitsAt50,HitsAt100,PrecisionAt10,PrecisionAt50,PrecisionAt100,PosEdges,NegEdges,InputGraph,TargetGraph
0.867288847958114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8597.0,429850.0,119.0,120.0
0.887418976746618,1.0,1.0,1.0,1.0,0.9,0.96,0.98,8501.0,425050.0,120.0,121.0
0.904633664941909,1.0,1.0,1.0,1.0,1.0,1.0,0.99,8233.0,411650.0,121.0,122.0
0.8774063975068171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8478.0,423900.0,122.0,123.0
0.8950231095234724,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8147.0,407350.0,123.0,124.0
0.8961520321959211,1.0,1.0,1.0,1.0,1.0,0.98,0.99,8329.0,416450.0,124.0,125.0
0.9023345209776458,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9015.0,450750.0,125.0,126.0
0.9066582223482812,1.0,1.0,1.0,1.0,1.0,1.0,0.99,8285.0,414250.0,126.0,127.0
0.9032196640238443,1.0,1.0,1.0,1.0,1.0,0.96,0.98,7205.0,360250.0,127.0,128.0
0.9053544610466587,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7457.0,372850.0,128.0,129.0
0.8796933358357268,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7096.0,354800.0,129.0,130.0
0.8800983990265993,1.0,1.0,1.0,1.0,0.9,0.98,0.99,7513.0,375650.0,130.0,131.0
0.9289272552624955,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6903.0,345150.0,131.0,132.0
0.9091759065721322,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7225.0,361250.0,132.0,133.0
0.8792345336940105,1.0,1.0,1.0,1.0,1.0,0.98,0.99,7438.0,371900.0,133.0,134.0
0.8758214058217351,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7967.0,398350.0,134.0,135.0
0.8719746814581333,0.5,1.0,1.0,1.0,0.9,0.98,0.99,7534.0,376700.0,135.0,136.0
0.856460583765094,1.0,1.0,1.0,1.0,1.0,1.0,0.99,7817.0,390850.0,136.0,137.0
0.876003630030064,0.5,1.0,1.0,1.0,0.9,0.98,0.99,7624.0,381200.0,137.0,138.0
0.8771760753710613,1.0,1.0,1.0,1.0,0.8,0.92,0.95,7313.0,365650.0,138.0,139.0
0.8926590993532164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7627.0,381350.0,139.0,140.0
0.8929714832830604,1.0,1.0,1.0,1.0,0.8,0.96,0.98,7454.0,372700.0,140.0,141.0
0.9023677678872077,1.0,1.0,1.0,1.0,1.0,0.98,0.99,7277.0,363850.0,141.0,142.0
0.8558275157139638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7840.0,392000.0,142.0,143.0
0.8797125375045549,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7967.0,398350.0,143.0,144.0
0.87280093647335,1.0,1.0,1.0,1.0,1.0,0.98,0.99,7612.0,380600.0,144.0,145.0
0.9087538923135147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8019.0,400950.0,145.0,146.0
0.8984375438800869,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7071.0,353550.0,146.0,147.0
0.8797835495233232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7859.0,392950.0,147.0,148.0
0.8726960961440926,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6901.0,345050.0,148.0,149.0
0.8907339401405537,0.5,1.0,1.0,1.0,0.9,0.96,0.97,7735.0,386750.0,149.0,150.0
0.875978323451768,1.0,1.0,1.0,1.0,1.0,0.98,0.99,9024.0,451200.0,150.0,151.0
0.887986220502312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7923.0,396150.0,151.0,152.0
0.9165236015475658,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7027.0,351350.0,152.0,153.0
0.8590549037343207,1.0,1.0,1.0,1.0,0.9,0.96,0.98,7394.0,369700.0,153.0,154.0
0.8710182956793524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7952.0,397600.0,154.0,155.0
0.8996340409210697,1.0,1.0,1.0,1.0,0.9,0.96,0.97,7766.0,388300.0,155.0,156.0
0.8869795592193572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6842.0,342100.0,156.0,157.0
0.8986657244865474,1.0,1.0,1.0,1.0,1.0,0.98,0.98,8017.0,400850.0,157.0,158.0
0.8932648127265754,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8768.0,438400.0,158.0,159.0
0.8819270561597988,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8039.0,401950.0,159.0,160.0
0.8606946420919962,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8360.0,418000.0,160.0,161.0
0.8971078542738262,1.0,1.0,1.0,1.0,1.0,0.96,0.98,8046.0,402300.0,161.0,162.0
0.895883377228537,0.5,1.0,1.0,1.0,0.9,0.96,0.98,8540.0,427000.0,162.0,163.0
0.8803527315275886,1.0,1.0,1.0,1.0,1.0,0.98,0.99,8510.0,425500.0,163.0,164.0
0.8637579980757025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8168.0,408400.0,164.0,165.0
0.8779385081603871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8029.0,401450.0,165.0,166.0
0.8684545799587107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8401.0,420050.0,166.0,167.0
0.883476985994797,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7585.0,379250.0,167.0,168.0
0.8570549995917319,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7685.0,384250.0,168.0,169.0
0.8821795158523039,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8155.0,407750.0,169.0,170.0
0.878840117297737,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7598.0,379900.0,170.0,171.0
0.8944221167337106,1.0,1.0,1.0,1.0,1.0,0.98,0.99,7173.0,358650.0,171.0,172.0
0.8758075743252279,1.0,1.0,1.0,1.0,1.0,0.98,0.99,7405.0,370250.0,172.0,173.0
0.8837499943471194,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7069.0,353450.0,173.0,174.0
0.8481383910246086,1.0,1.0,1.0,1.0,1.0,1.0,0.99,7602.0,380100.0,174.0,175.0
0.8744699790165051,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8269.0,413450.0,175.0,176.0
0.8765491610844329,1.0,1.0,1.0,1.0,1.0,1.0,0.98,7966.0,398300.0,176.0,177.0
0.8755112091981582,1.0,1.0,1.0,1.0,1.0,1.0,0.99,7708.0,385400.0,177.0,178.0
0.8809150699111556,1.0,1.0,1.0,1.0,0.9,0.94,0.97,7545.0,377250.0,178.0,179.0
0.888582161328209,1.0,1.0,1.0,1.0,1.0,0.98,0.98,7931.0,396550.0,179.0,180.0
0.885565985731839,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7172.0,358600.0,180.0,181.0
0.8913486440792078,1.0,1.0,1.0,1.0,1.0,1.0,0.99,7348.0,367400.0,181.0,182.0
0.8763431460406178,1.0,1.0,1.0,1.0,0.9,0.98,0.99,8077.0,403850.0,182.0,183.0
0.8606609481330424,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8229.0,411450.0,183.0,184.0
0.7723157631871721,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8533.0,426650.0,184.0,185.0
0.8791403300265896,1.0,1.0,1.0,1.0,1.0,0.98,0.99,7079.0,353950.0,185.0,186.0
0.8778044589273915,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8058.0,402900.0,186.0,187.0
0.8792124742720134,1.0,1.0,1.0,1.0,0.9,0.98,0.99,8155.0,407750.0,187.0,188.0
0.8759831836554263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8632.0,431600.0,188.0,189.0
0.8628762433744308,1.0,1.0,1.0,1.0,1.0,1.0,0.99,7761.0,388050.0,189.0,190.0
0.8835005685932664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7087.0,354350.0,190.0,191.0
0.8793144182688938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8269.0,413450.0,191.0,192.0
0.8456678190045835,1.0,1.0,1.0,1.0,1.0,0.98,0.99,8368.0,418400.0,192.0,193.0
0.8642828782596367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7841.0,392050.0,193.0,194.0
0.8665643572214545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7437.0,371850.0,194.0,195.0
0.876141715114628,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6943.0,347150.0,195.0,196.0
0.8772027098488095,1.0,1.0,1.0,1.0,0.9,0.98,0.99,7890.0,394500.0,196.0,197.0
0.8736219952670509,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8141.0,407050.0,197.0,198.0
0.9010627423903252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8720.0,436000.0,198.0,199.0
0.8850581189876094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7675.0,383750.0,199.0,200.0
0.8848625913198166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8314.0,415700.0,200.0,201.0
0.8904807137303539,1.0,1.0,1.0,1.0,0.9,0.98,0.99,8879.0,443950.0,201.0,202.0
0.9036402912111221,1.0,1.0,1.0,1.0,0.9,0.96,0.98,8545.0,427250.0,202.0,203.0
0.9127739224671177,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7304.0,365200.0,203.0,204.0
0.8092061533015079,1.0,1.0,1.0,1.0,1.0,1.0,0.99,8826.0,441300.0,204.0,205.0
0.8980312867775433,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8178.0,408900.0,205.0,206.0
0.900086454757715,1.0,1.0,1.0,1.0,1.0,0.98,0.98,7176.0,358800.0,206.0,207.0
0.9096294972288338,1.0,1.0,1.0,1.0,0.9,0.96,0.98,7975.0,398750.0,207.0,208.0
0.8878085460372509,1.0,1.0,1.0,1.0,0.9,0.94,0.97,8476.0,423800.0,208.0,209.0
0.8684547820476713,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7832.0,391600.0,209.0,210.0
0.8781537127936538,1.0,1.0,1.0,1.0,1.0,0.98,0.99,7092.0,354600.0,210.0,211.0
0.8662368415944007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7905.0,395250.0,211.0,212.0
0.8690489319303356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8119.0,405950.0,212.0,213.0
0.8503740404969233,1.0,1.0,1.0,1.0,1.0,0.98,0.99,8578.0,428900.0,213.0,214.0
0.8574545874344556,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8338.0,416900.0,214.0,215.0
0.8530680088740779,1.0,1.0,1.0,1.0,1.0,0.98,0.98,8527.0,426350.0,215.0,216.0
0.8897779221391205,1.0,1.0,1.0,1.0,1.0,1.0,0.99,7335.0,366750.0,216.0,217.0
0.8898403210798228,1.0,1.0,1.0,1.0,1.0,1.0,0.99,8221.0,411050.0,217.0,218.0
0.87358429454306,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7404.0,370200.0,218.0,219.0
0.8848797524930215,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6992.0,349600.0,219.0,220.0
0.8883035039514438,1.0,1.0,1.0,1.0,1.0,0.98,0.99,7340.0,367000.0,220.0,221.0
0.8873555154750571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7958.0,397900.0,221.0,222.0
0.8821619511100045,0.5,1.0,1.0,1.0,0.9,0.94,0.97,6769.0,338450.0,222.0,223.0
0.8848384754307201,1.0,1.0,1.0,1.0,1.0,0.98,0.99,7755.0,387750.0,223.0,224.0
0.895604634236956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7122.0,356100.0,224.0,225.0
0.893768459492085,1.0,1.0,1.0,1.0,1.0,1.0,0.99,7219.0,360950.0,225.0,226.0
0.8846801814756303,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8194.0,409700.0,226.0,227.0
0.8923100604839505,0.5,1.0,1.0,1.0,0.7,0.94,0.97,7479.0,373950.0,227.0,228.0
0.9230634077446073,1.0,1.0,1.0,1.0,1.0,0.98,0.99,7372.0,368600.0,228.0,229.0
0.8775949059838299,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7101.0,355050.0,229.0,230.0
0.8943872594178062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7165.0,358250.0,230.0,231.0
0.8907748404703232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7312.0,365600.0,231.0,232.0
0.871631433384614,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8221.0,411050.0,232.0,233.0
0.8175754683566339,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8398.0,419900.0,233.0,234.0
0.8898690285593559,1.0,1.0,1.0,1.0,1.0,0.92,0.96,7735.0,386750.0,234.0,235.0
0.9037888332970593,1.0,1.0,1.0,1.0,0.9,0.98,0.99,7506.0,375300.0,235.0,236.0
0.8737578516528209,1.0,1.0,1.0,1.0,1.0,0.98,0.98,7326.0,366300.0,236.0,237.0
0.8870957833255214,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7529.0,376450.0,237.0,238.0
0.8720018208020108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8116.0,405800.0,238.0,239.0
0.8924604398130825,1.0,1.0,1.0,1.0,1.0,1.0,0.99,8517.0,425850.0,239.0,240.0
0.8860018365329925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8002.0,400100.0,240.0,241.0
0.889849404351654,1.0,1.0,1.0,1.0,1.0,0.96,0.98,8019.0,400950.0,241.0,242.0
0.8906144026250351,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7270.0,363500.0,242.0,243.0
0.8777967612102769,1.0,1.0,1.0,1.0,1.0,0.92,0.9,9641.0,482050.0,243.0,244.0
0.8375176424935441,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7664.0,383200.0,244.0,245.0
0.8931722239360403,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7767.0,388350.0,245.0,246.0
0.8959133638786164,0.5,1.0,1.0,1.0,0.9,0.98,0.99,7526.0,376300.0,246.0,247.0
0.9108226904400766,1.0,1.0,1.0,1.0,1.0,0.98,0.98,8031.0,401550.0,247.0,248.0
0.8960371019791945,1.0,1.0,1.0,1.0,1.0,0.98,0.99,8098.0,404900.0,248.0,249.0
0.913123445762868,1.0,1.0,1.0,1.0,1.0,1.0,0.98,7815.0,390750.0,249.0,250.0
0.8888419839919778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7543.0,377150.0,250.0,251.0
0.8846757538197373,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7590.0,379500.0,251.0,252.0
0.8793228834941238,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6998.0,349900.0,252.0,253.0
0.8619727595177119,1.0,1.0,1.0,1.0,1.0,0.92,0.96,7180.0,359000.0,253.0,254.0
0.8952501783474796,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7025.0,351250.0,254.0,255.0
0.9034760527379321,1.0,1.0,1.0,1.0,1.0,1.0,0.99,7519.0,375950.0,255.0,256.0
0.8946579784340124,1.0,1.0,1.0,1.0,1.0,1.0,0.99,7765.0,388250.0,256.0,257.0
0.8893147437825304,1.0,1.0,1.0,1.0,0.9,0.98,0.99,7170.0,358500.0,257.0,258.0
0.8944878510599759,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6997.0,349850.0,258.0,259.0
0.8821887182118165,1.0,1.0,1.0,1.0,1.0,0.98,0.99,7892.0,394600.0,259.0,260.0
0.8656227663961029,1.0,1.0,1.0,1.0,1.0,0.98,0.96,7298.0,364900.0,260.0,261.0
0.9075226099718086,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7794.0,389700.0,261.0,262.0
0.8808678917372788,1.0,1.0,1.0,1.0,1.0,0.98,0.95,7956.0,397800.0,262.0,263.0
0.8943819836666399,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8367.0,418350.0,263.0,264.0
0.8623181793669615,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7219.0,360950.0,264.0,265.0
0.8851128601184277,1.0,1.0,1.0,1.0,1.0,0.98,0.99,7365.0,368250.0,265.0,266.0
0.9025472781838821,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6797.0,339850.0,266.0,267.0
0.8736526500347173,1.0,1.0,1.0,1.0,1.0,1.0,0.98,7924.0,396200.0,267.0,268.0
0.9041199069450677,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7480.0,374000.0,268.0,269.0
