Slice,Status,NumRows,NumServices,UniqueDirectedEdges,NumWindows,MeanEdgesPerWindow,MedianEdgesPerWindow,EdgeDensity,TrainPairs,ValPairs,TestPairs,BestEpoch,TrainTimeSec,Pairs,AUC_Mean,AUC_Std,F1_Mean,F1_Std,PR_AUC_Mean,PR_AUC_Std,PrecisionAtK_Mean,PrecisionAtK_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,AvgPosEdgesPerPair
early_third,ok,4588825.0,13597.0,42294.0,601.0,7635.316139767055,7584.0,0.0002287833987573579,306.0,54.0,240.0,15.0,501.1415457725525,239.0,0.9834819349853109,0.005724693103151577,0.26922319596265154,0.0018263913875098984,0.949843193504605,0.008838420949115673,0.9966108786610879,0.005622285199076432,0.1558504580061903,0.0011110197783073287,0.9877962181966916,0.005761432149673164,7297.799163179916
middle_third,ok,4370710.0,13520.0,41736.0,601.0,7272.396006655574,7207.0,0.00022834397873516607,306.0,54.0,240.0,14.0,462.6611490249634,239.0,0.9833056897709609,0.006568602757374089,0.2772065900563874,0.002023599083633144,0.9511602211768971,0.009386865615172513,0.9975313807531381,0.005028585502116696,0.16125278960639278,0.0012006694459260256,0.9867984739202574,0.007269125707477611,7131.623430962343
late_third,ok,4372821.0,13185.0,40437.0,601.0,7275.908485856905,7238.0,0.00023262243613108452,306.0,54.0,240.0,11.0,397.1912648677826,239.0,0.9826634028131116,0.005823316945477166,0.2732385353570249,0.0018566309981971278,0.9430568248675468,0.009318784847861144,0.997029288702929,0.005408344311985452,0.1585623887551257,0.0011238832482210553,0.9872370638599526,0.006136959154782074,7234.665271966527
