Gap,GapMs,TestStart,TestEnd,Pairs,Seeds,AUC_Mean,AUC_Std,PR_AUC_Mean,PR_AUC_Std,Precision_Mean,Recall_Mean,F1_Mean,F1_Std,Accuracy_Mean
0,0,70,99,90,3,0.9748953887545461,0.008583108183529706,0.9834550061737334,0.005269613463399275,0.6491456055987649,0.9786335540018167,0.7805355966938733,0.005040183730765778,0.7248434708359617
5,500,75,104,90,3,0.9733158060819787,0.009563673432985429,0.9826441395794002,0.00585942952121384,0.650865228055025,0.9765877384887648,0.7811194406115348,0.0050954466010607645,0.7263715657373554
10,1000,80,109,90,3,0.9722063835480464,0.010210782681861251,0.9818062209412144,0.00641692937910653,0.6485301508085909,0.9762313217244489,0.7793242724110687,0.006058472906289914,0.7235804240593959
20,2000,90,119,90,3,0.9619944577918614,0.027413209831986377,0.9757273640451062,0.015581604806061817,0.645105725321677,0.9648238430384957,0.7731297959791126,0.01635036776485848,0.7171999104272687
50,5000,120,149,90,3,0.9743991780035153,0.008469449824410294,0.9835939770165977,0.005195181338744052,0.6495632047508149,0.9772768768482128,0.7804011842925964,0.005642525455873311,0.7250057738835125
100,10000,170,199,90,3,0.9713835585667256,0.0069225646294306265,0.9815178091980749,0.004203355580107077,0.647207001929615,0.975032498612689,0.7779817109755501,0.005538919185330102,0.7217354886519015
200,20000,270,299,90,3,0.9739659746136533,0.006510643727498434,0.982860066354119,0.0040024636034026945,0.6475679323591093,0.9771749363750247,0.7789285568537495,0.003989526663244855,0.7226659692974241
500,50000,570,599,90,3,0.9666652073598909,0.010035598557516281,0.978496636792036,0.005826289411422982,0.6437338527928689,0.9706394358481389,0.774075777921463,0.005328511159954002,0.7167282105477542
