Pairs,AUC_Mean,AUC_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,Accuracy_Mean,Accuracy_Std,AvgPosEdges,AvgNegEdges,Dataset,NegRatio,NumWindows,TrainPairs,ValPairs,TestPairsUsed,BestEpoch,TrainTimeSec
1729.0,0.9682330506897385,0.01131816124859728,0.6464570187756526,0.003960091691658545,0.9720872133017161,0.01175567671398969,0.7765017120384943,0.006190320098954698,0.7202427747430116,0.006755040718610883,7364.88027761712,7364.88027761712,Alibaba 2022,1.0,1801.0,60.0,9.0,1729.0,31.0,196.58727645874023
1729.0,0.9682198941534874,0.011315059080794032,0.2676651080449884,0.0027879734188332663,0.9720872133017161,0.01175567671398969,0.41974924425862375,0.004438775052232983,0.552077257983259,0.0035613856886204526,7364.88027761712,36824.4013880856,Alibaba 2022,5.0,1801.0,60.0,9.0,1729.0,31.0,196.58727645874023
1729.0,0.9682185053587632,0.011309514599136521,0.15450836057652886,0.0017914496220891188,0.9720872133017161,0.01175567671398969,0.2666355851466944,0.0030823366092338333,0.5138785084802815,0.0028211518370692967,7364.88027761712,73648.8027761712,Alibaba 2022,10.0,1801.0,60.0,9.0,1729.0,31.0,196.58727645874023
300.0,0.9705260346240836,0.011128031782217043,0.03544474957242386,0.0004203414015974092,0.9747041711587986,0.01084391939662698,0.0684020444521828,0.0008078400585999756,0.4794058321759724,0.0022455459539157093,7727.133333333333,386356.6666666667,Alibaba 2022,50.0,1801.0,60.0,9.0,300.0,31.0,196.58727645874023
2929.0,0.9764386141225821,0.01584661401899408,0.6427965128432668,0.006537140491825549,0.9781140897296421,0.016769997759633466,0.7757353711492257,0.009005759549992243,0.7172874808915111,0.010250492600377564,2010.4643222942984,2010.4643222942984,Alibaba 2021,1.0,3001.0,60.0,9.0,2929.0,16.0,50.60996437072754
2929.0,0.9764367420584399,0.0158663418274912,0.26462539170760896,0.00406302826302789,0.9781140897296421,0.016769997759633466,0.4165462809395355,0.0063276686073778544,0.5433213177882438,0.006137786795720294,2010.4643222942984,10052.321611471492,Alibaba 2021,5.0,3001.0,60.0,9.0,2929.0,16.0,50.60996437072754
2929.0,0.9764368977509476,0.015858939257903343,0.15244098347777707,0.002546374763883825,0.9781140897296421,0.016769997759633466,0.26376970107786224,0.004338063964746053,0.5036042628582277,0.005397892672195506,2010.4643222942984,20104.643222942985,Alibaba 2021,10.0,3001.0,60.0,9.0,2929.0,16.0,50.60996437072754
300.0,0.9749007427104001,0.017326012089730246,0.034603839164951966,0.0006740782279529345,0.9765037173601419,0.018863413926854648,0.06683898177954205,0.0012976786966955051,0.4653420654096845,0.004526099352203761,1836.5133333333333,91825.66666666667,Alibaba 2021,50.0,3001.0,60.0,9.0,300.0,16.0,50.60996437072754
1096.0,0.5774978524353398,0.1337602549356299,0.5324425497894044,0.08146166244752444,0.9563148168319998,0.15043361905240205,0.6790326291595185,0.09133190288439401,0.5591141204897987,0.07093665610048881,425.11861313868616,425.11861313868616,Huawei 2021,1.0,2352.0,60.0,9.0,1096.0,1.0,5.187892198562622
1096.0,0.572982316179659,0.12179771730664896,0.18626283134164218,0.037365507496015415,0.9563148168319998,0.15043361905240205,0.3103921830300392,0.054158754374087965,0.2895079065409252,0.09929747422694217,425.11861313868616,2125.5930656934306,Huawei 2021,5.0,2352.0,60.0,9.0,1096.0,1.0,5.187892198562622
1096.0,0.5754887482324605,0.11898400859786261,0.1035325665367879,0.022205838487806454,0.9563148168319998,0.15043361905240205,0.18615136499764515,0.03608907656249133,0.23349423359627824,0.11840526938152866,425.11861313868616,4251.186131386861,Huawei 2021,10.0,2352.0,60.0,9.0,1096.0,1.0,5.187892198562622
300.0,0.6318632126204634,0.14919899693696143,0.02321505573663263,0.007279486930812455,0.8697531044266991,0.2622692206453059,0.04515880653980076,0.014042504514117071,0.27825259013967096,0.16272373241563448,254.46666666666667,12723.333333333334,Huawei 2021,50.0,2352.0,60.0,9.0,300.0,1.0,5.187892198562622
