Model,Epoch,EpochTrainSec,ValLoss
GAT,1.0,1.5269546000054106,1.0523347589704726
GAT,2.0,1.4450288000225555,1.0417785909440782
GAT,3.0,2.144764299999224,1.0245327949523926
GAT,4.0,2.3498409000167158,0.9982594781451755
GAT,5.0,2.6852908000000753,0.977356665664249
GAT,6.0,2.5853365999937523,0.9384387532869974
GAT,7.0,2.326267900003586,0.9174070424503751
GAT,8.0,2.2704633999965154,0.9354507856898837
GAT,9.0,2.2823865999816917,0.897757093111674
GAT,10.0,2.2359773000061978,0.8929307725694444
GAT,11.0,2.284759500005748,0.8769037127494812
GAT,12.0,2.3122159000195097,0.8592772682507833
GAT,13.0,2.3309356000099797,0.8494628336694505
GAT,14.0,2.419365599984303,0.8674473563830057
GAT,15.0,2.3354237000166904,0.8501085837682089
GAT,16.0,2.3183047999918927,0.861264255311754
GAT,17.0,2.3349773999943864,0.8431557681825426
GAT,18.0,2.354284800007008,0.8458065523041619
GAT,19.0,2.2916933999804314,0.8356350395414565
GAT,20.0,2.3608649999951012,0.8373187714152865
GAT,21.0,2.3363288000109605,0.8445365296469795
GAT,22.0,2.333615000010468,0.8359265989727445
GAT,23.0,2.3309863000176847,0.8363421360651652
GAT,24.0,2.309320400003344,0.8384107152620951
GAT,25.0,2.313201900018612,0.840246942308214
GAT,26.0,2.362978999997722,0.8558196690347459
GAT,27.0,2.3084131999930833,0.8365000486373901
Diffusion,1.0,2.7616824000142515,1.0783152182896931
Diffusion,2.0,2.4066184000112116,1.0463350613911946
Diffusion,3.0,2.3727003000094555,1.0377876493665907
Diffusion,4.0,2.7485027999791782,1.0306505097283258
Diffusion,5.0,2.6805337999830954,1.029067291153802
Diffusion,6.0,2.414449700008845,1.021808750099606
Diffusion,7.0,2.4091883999935817,1.0201428400145636
Diffusion,8.0,2.401790100004291,1.0162232981787787
Diffusion,9.0,2.42036790002021,1.0089664790365431
Diffusion,10.0,2.4494691000145394,1.0123788317044575
Diffusion,11.0,2.4536510999896564,0.9998626907666525
Diffusion,12.0,2.41776059998665,1.0049619012408786
Diffusion,13.0,2.427293400018243,1.0023282567660015
Diffusion,14.0,2.38986890000524,1.0068188839488559
Diffusion,15.0,2.4052924000134226,1.0003567536671956
Diffusion,16.0,2.4090166999958456,1.0063909822040134
Diffusion,17.0,2.3565595999825746,0.9991056720415751
Diffusion,18.0,2.3484038000169676,1.0041794512006972
Diffusion,19.0,2.406254000001354,0.9981306791305542
DiffusionGAT,1.0,4.725021899997955,1.1576177014244928
DiffusionGAT,2.0,3.697649400011869,1.1295534372329712
DiffusionGAT,3.0,3.688309199991636,1.1003593736224704
DiffusionGAT,4.0,3.700068799982546,1.0872875849405925
