Model,Epoch,EpochTrainSec,ValLoss
DiffusionGAT,5.0,3.7057738000003155,1.092296494377984
DiffusionGAT,6.0,3.690903899987461,1.069422231780158
DiffusionGAT,7.0,4.167076199984876,1.0554763476053874
DiffusionGAT,8.0,3.844217200006824,1.0711788071526422
DiffusionGAT,9.0,3.69782169998507,1.0416725211673312
DiffusionGAT,10.0,3.9568857999984175,1.0468104283014934
DiffusionGAT,11.0,3.7150245000084396,1.03347737259335
DiffusionGAT,12.0,3.7350806999893393,1.0396193265914917
DiffusionGAT,13.0,3.723990099999355,1.0412494473987155
DiffusionGAT,14.0,3.7305823999922723,1.036371456252204
DiffusionGAT,15.0,3.7353029000223614,1.0314067999521892
DiffusionGAT,16.0,3.7544745999912266,1.0304393238491483
DiffusionGAT,17.0,3.7518347000004724,1.0499858723746405
DiffusionGAT,18.0,3.7422545999870636,1.0201756556828816
DiffusionGAT,19.0,3.769445000012638,1.180273003048367
DiffusionGAT,20.0,4.001723099994706,1.0480571587880452
DiffusionGAT,21.0,3.7813854000123683,1.0173510710398357
DiffusionGAT,22.0,3.73832279999624,1.0247190528445773
DiffusionGAT,23.0,3.7770809999783523,1.011811031235589
DiffusionGAT,24.0,4.212849199975608,1.000387383831872
DiffusionGAT,25.0,4.30985759999021,0.9936244289080302
DiffusionGAT,26.0,3.8055924999935087,0.9934189253383212
DiffusionGAT,27.0,3.817376399994828,1.0104760196473863
DiffusionGAT,28.0,3.835377500014147,1.0135428971714444
DiffusionGAT,29.0,3.787636900000507,1.0271187358432345
DiffusionGAT,30.0,3.720701399986865,1.0069164368841383
Transformer,1.0,69.20391059998656,2.278819349077013
Transformer,2.0,70.75618299999041,1.3857632213168674
Transformer,3.0,71.03923540000687,1.0627715322706435
Transformer,4.0,71.14654660000815,0.9579156902101305
Transformer,5.0,68.53934650000883,0.9013446503215365
Transformer,6.0,68.21845949999988,0.8668418592876859
Transformer,7.0,67.39681619999465,0.8468274407916598
Transformer,8.0,68.9031621000031,0.8268369833628336
Transformer,9.0,68.8450232000032,0.8163777258661058
Transformer,10.0,70.16841690000729,0.8077783054775662
Transformer,11.0,71.40230250000604,0.8005476593971252
Transformer,12.0,69.63244059999124,0.7933166556888156
Transformer,13.0,69.87060920000658,0.7919277747472128
Transformer,14.0,68.01528589997906,0.7885320848888822
Transformer,15.0,68.93872579999152,0.7848291198412577
Transformer,16.0,67.74457509999047,0.7811013129022386
Transformer,17.0,68.15610399999423,0.7753405438529121
Transformer,18.0,68.77779950000695,0.7754042016135322
Transformer,19.0,68.86672079999698,0.7777389817767673
Transformer,20.0,67.80935460000183,0.7730832099914551
Transformer,21.0,67.81631169997854,0.7760595281918844
Transformer,22.0,68.64298110001255,0.770118965042962
Transformer,23.0,71.09893920001923,0.771237227651808
Transformer,24.0,68.1485440999968,0.7724069356918335
Transformer,25.0,69.38633010000922,0.7775237229135301
Transformer,26.0,69.98234019998927,0.771383888191647
Transformer,27.0,68.92254629998934,0.7699612908893161
Transformer,28.0,68.01937210001051,0.768942031595442
Transformer,29.0,68.90618849999737,0.7672875788476732
Transformer,30.0,69.30044449999696,0.7722065647443136
TransformerGAT,1.0,67.2575939000235,1.0768421093622844
TransformerGAT,2.0,68.3314503999718,1.0286340845955744
TransformerGAT,3.0,69.88864449999528,0.9999268982145522
TransformerGAT,4.0,68.4463676000014,0.9837782184282938
TransformerGAT,5.0,67.93780820001848,0.952884727054172
TransformerGAT,6.0,67.63664380001137,0.9150447779231601
TransformerGAT,7.0,67.43736549999448,0.9348295662138197
TransformerGAT,8.0,67.36388140000054,0.891914168993632
TransformerGAT,9.0,67.92637540001306,0.882449832227495
TransformerGAT,10.0,68.94560750000528,0.8859413531091478
TransformerGAT,11.0,69.1334199999983,0.8838340308931139
TransformerGAT,12.0,67.77511519999825,0.8784300486246744
TransformerGAT,13.0,67.11880369999562,0.8672874371210734
TransformerGAT,14.0,66.46253549997346,0.8685348100132413
TransformerGAT,15.0,68.24823530000867,0.9201404717233446
TransformerGAT,16.0,69.4066072999849,0.9024837017059326
TransformerGAT,17.0,68.60714639999787,0.8812719715966119
TransformerGAT,18.0,70.25091360000079,0.8443469471401639
TransformerGAT,19.0,88.27119500000845,0.8334540261162652
TransformerGAT,20.0,75.33515800000168,0.8871574269400703
TransformerGAT,21.0,76.34906160001992,1.0097176366382175
TransformerGAT,22.0,76.71458510000957,0.9332771632406447
TransformerGAT,23.0,74.35356610000599,0.8876837293306986
TransformerGAT,24.0,71.41628510001465,0.8848985764715407
TransformerGAT,25.0,68.08789259998593,0.877493268913693
TransformerGAT,26.0,68.25931970000966,0.8740656971931458
TransformerGAT,27.0,68.4982473999844,0.88074924548467
