Setting,WindowSizeMs,OverlapPct,TrainWindows,TestWindows,AvgEdgesPerWindow,DuplicatedEdgePct,BestEpoch,TrainTimeSec,EvalTimeSec,Pairs,AUC_Mean,AUC_Std,F1_Mean,F1_Std,PR_AUC_Mean,PR_AUC_Std,PrecisionAtK_Mean,PrecisionAtK_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,AvgPosEdgesPerPair
50ms_non_overlap,50.0,0.0,140.0,60.0,4197.915,0.0,19.0,225.00327515602112,8.108285188674927,59.0,0.9737030089787605,0.012711559394626057,0.26591679928066153,0.0034919438174893184,0.9459695019314315,0.02003981110826824,0.9977966101694916,0.0048947556197266665,0.15391667864964256,0.002018006361091856,0.9764632737501184,0.013771074328457415,4161.423728813559
100ms_non_overlap,100.0,0.0,70.0,30.0,8395.83,0.0,26.0,166.99322175979614,5.815797328948975,29.0,0.9717185994265727,0.010100436100133092,0.2676286423294115,0.0023962195156819297,0.9380967708138238,0.017066604457008357,0.9951724137931033,0.006226024167333725,0.1550888172843496,0.0013886997688558609,0.9755031054383823,0.009318096826002585,8316.034482758621
100ms_overlap_50pct,100.0,50.0,139.0,60.0,8397.96,49.78476915822414,11.0,188.45199632644653,12.124508619308472,59.0,0.9745247678475006,0.010290557159657751,0.26031333578513643,0.0027494565914683348,0.9383711431609143,0.01478181645799915,0.9952542372881357,0.006728621437721771,0.15015604263840387,0.0016119915728926302,0.9772469883974,0.010441747305046855,8313.847457627118
200ms_non_overlap,200.0,0.0,35.0,15.0,16791.66,0.0,22.0,91.38151168823242,5.6213977336883545,14.0,0.9546992543951298,0.012299255570971779,0.26276116910728203,0.0035475486293948763,0.874616861171283,0.022504224001373672,0.9914285714285714,0.009147320339189793,0.15214275999199778,0.0020971001336413065,0.9627786245937907,0.012644832545325226,16590.35714285714
500ms_non_overlap,500.0,0.0,14.0,6.0,41979.15,0.0,13.0,40.15286898612976,4.462774991989136,5.0,0.9141326007772543,0.012808216012959828,0.26502475409913656,0.0034495547493424068,0.7965043395007813,0.017446867001717815,1.0,0.0,0.1548501785102625,0.0019960486309888417,0.9186159687637488,0.013104346707530187,41100.8
