Model,DataLoadingSec,GraphConstructionSec,BestEpoch,EpochsRun,TrainingTimePerEpochMeanSec,TrainingTimePerEpochStdSec,TotalTrainingSec,Pairs,AUC_Mean,PR_AUC_Mean,ModelInferenceSec,EndToEndEvalSec,EvalOverheadSec,NodeCountAfterCap,TransformerAttentionEstGB,MemLimitGB,AutoDownscaled
GAT,28.865279899997404,0.7523539999965578,19.0,27.0,2.277406722225283,0.24419489460638197,61.490104299999075,29.0,0.9689946021294401,0.8845335299730498,0.27489300005254336,4.158099899999797,3.883206899947254,1997.0,0.2377038598060608,4.0,0.0
Diffusion,28.865279899997404,0.7523539999965578,11.0,19.0,2.4568107052657164,0.12189999288128665,46.67948510000133,29.0,0.8953965529591851,0.7159869004995612,0.30593999990378506,3.110435599985067,2.8044956000812817,1997.0,0.2377038598060608,4.0,0.0
DiffusionGAT,28.865279899997404,0.7523539999965578,25.0,30.0,3.8439873733295826,0.2266981057809358,115.31973909999942,29.0,0.9052759043756413,0.618195124646328,0.6019164000172168,4.084514499991201,3.482598099973984,1997.0,0.2377038598060608,4.0,0.0
Transformer,28.865279899997404,0.7523539999965578,22.0,30.0,69.12183385999911,1.1068556108356336,2073.655168199999,29.0,0.9866540053656567,0.9623378971819763,2.432177199953003,7.053408200008562,4.621231000055559,1997.0,0.2377038598060608,4.0,0.0
TransformerGAT,28.865279899997404,0.7523539999965578,19.0,27.0,70.20221577037161,4.513068427629919,1895.459970099997,29.0,0.967865256665499,0.8811145887501198,2.526257799938321,6.598846199980471,4.07258840004215,1997.0,0.2377038598060608,4.0,0.0
