AUC,PR_AUC,Precision,Recall,F1,Accuracy,PosEdges,InputGraph,TargetGraph,InputEdges,TargetEdges,Scenario,Seed,BestEpoch
0.9826722300336702,0.9884878477590371,0.6532396297565992,0.9864112851041802,0.785975766950245,0.7313964022259609,7727,1291,1292,6489,7727,low_density,0,38
0.9749421836276786,0.983358168132753,0.6532843184676406,0.9805430521271962,0.7841384115188109,0.730071148540729,6887,546,547,6850,6887,low_density,0,38
0.9806916537052348,0.9878212505886997,0.6535520748274071,0.9828086626479124,0.7850550626421151,0.7309109176155392,8958,696,697,6405,8958,low_density,0,38
0.9649745136493567,0.9788825414488352,0.6466766616691654,0.9642324888226528,0.7741549506431349,0.7187034277198212,6710,1166,1167,5621,6710,low_density,0,38
0.9695022019099432,0.981079124611722,0.6477545575811472,0.9731462925851704,0.7777896422851042,0.7219772879091516,7485,1423,1424,6910,7485,low_density,0,38
0.964796495096558,0.9768084013359283,0.6489719626168224,0.9714605484051483,0.7781264007171672,0.7229994404029099,7148,1431,1432,6872,7148,low_density,0,38
0.9788285182213206,0.986085021645342,0.6512227840264163,0.9822568093385214,0.7831968230330106,0.7280933852140078,6425,1326,1327,6846,6425,low_density,0,38
0.9582794068086244,0.973874174395892,0.6441014959288014,0.9576295045045045,0.7701800067927091,0.7142454954954955,7104,553,554,6615,7104,low_density,0,38
0.9780785507637875,0.9863625018638703,0.648320554947061,0.9813484387952474,0.7808068594041991,0.7245095330201713,7238,1573,1574,6818,7238,low_density,0,38
0.9816552717390554,0.988263989969566,0.6563005230622919,0.9833285836420632,0.7872012775908287,0.7341835280706754,7018,1682,1683,6557,7018,low_density,0,38
0.9710342814728223,0.9825672785240436,0.6466367713004484,0.9713054021285195,0.776395843428633,0.7202613498585477,7423,1626,1627,6451,7423,low_density,0,38
0.9665048426208495,0.97946945546671,0.6519421953469304,0.968483556638246,0.7792955589586523,0.7257155907429963,6568,537,538,6889,6568,low_density,0,38
0.9842768199145867,0.9894732336866742,0.6506783719074222,0.9876438522107813,0.7845080586961751,0.728709872804361,8255,1769,1770,6501,8255,low_density,0,38
0.9695484829589236,0.9801461842660921,0.6465668157945925,0.9715037264357738,0.7764087591240876,0.7202250474937892,6843,1655,1656,6809,6843,low_density,0,38
0.9805819466136712,0.9869094963814707,0.6516978099256581,0.9851176917236143,0.78444887840861,0.7293090356871678,6585,781,782,6927,6585,low_density,0,38
0.9827826700143459,0.9887477638330402,0.6540207245011561,0.9870750937055707,0.7867518285773153,0.7324544397053121,7737,538,539,6568,7737,low_density,0,38
0.967245559186423,0.9800576666941568,0.644644557970387,0.9697798619252312,0.7744720690731302,0.7175980200599192,7677,1779,1780,6344,7677,low_density,0,38
0.9701200169852333,0.9822138257654417,0.6467636301777664,0.9712606974070762,0.7764729909118758,0.7203985183292886,7829,596,597,6671,7829,low_density,0,38
0.9748997008746251,0.9835195228259743,0.648746259415953,0.9768489745183344,0.7796862404662988,0.7239745183343692,6436,532,533,6761,6436,low_density,0,38
0.9817044126976425,0.9871260990614957,0.6547529940119761,0.9849401829697396,0.7866014724891811,0.7327938071780437,7105,1729,1730,6265,7105,low_density,0,38
0.965538537250978,0.9771822743720403,0.6460346399270739,0.9698918844943205,0.7755102040816326,0.7192418229095388,7307,274,275,6468,7307,low_density,0,38
0.9845672560335827,0.989736289594349,0.6535119108475616,0.9885555211877514,0.7868529574690712,0.7322146613052892,6466,1661,1662,6726,6466,low_density,0,38
0.9553354996832848,0.9724456394783616,0.6471907920405775,0.9583995377726419,0.7726346433770015,0.7179690885454283,6923,375,376,6665,6923,low_density,0,38
0.978625427682557,0.9857584443061137,0.6524165525955565,0.9831799428752777,0.784353440091145,0.7296889876229768,6302,1569,1570,6657,6302,low_density,0,38
0.9689436234771487,0.9810933446436226,0.6495640845776129,0.970214039814399,0.7781512605042017,0.7233947013920072,6681,859,860,6641,6681,low_density,0,38
0.9643007694054022,0.977348970320278,0.6479423250225292,0.9701649175412294,0.7769706429729243,0.7215142428785607,6670,1398,1399,6615,6670,low_density,0,38
