Scenario,Pairs,Seeds,AUC_Mean,AUC_Std,PR_AUC_Mean,F1_Mean,F1_Std,Precision_Mean,Recall_Mean,Accuracy_Mean,AvgInputEdges,AvgTargetEdges
low_density,150,3,0.972925192806781,0.007846860412730474,0.9827769005201541,0.7800036210103847,0.004931666416705172,0.6495455074662444,0.9760627250198726,0.7247140596123245,6668.8,7177.48
high_density,150,3,0.969983764784208,0.017351913823734955,0.9807504700295723,0.7788593152989927,0.008128526604748986,0.6489163529739714,0.9739576040328912,0.7235402768294599,8194.76,7723.52
