AUC,Precision,Recall,F1,Accuracy,MRR,PosEdges,NegEdges,InputGraph,TargetGraph
0.9668889723519758,0.6510436289654133,0.9707865168539326,0.779396508953137,0.7252247191011236,1.0,8900,8900,70,71
0.9793134461714358,0.6516562026412643,0.9812017820275997,0.7831743278404163,0.7283494512658916,1.0,9203,9203,71,72
0.9813801623263587,0.6514148103552077,0.9847554038680318,0.7841289971917746,0.7288964732650739,1.0,8790,8790,72,73
0.9836121467225712,0.6544903372489579,0.9849452554744526,0.7864135136365706,0.7324931569343066,1.0,8768,8768,73,74
0.980850029637473,0.6553467714383328,0.9852080123266564,0.7871153057037341,0.7335387776065743,1.0,9735,9735,74,75
0.9799407128973641,0.6575075893204639,0.9831238361266295,0.788003171789729,0.7355097765363129,1.0,8592,8592,75,76
0.9750421938312323,0.6513117487057998,0.9789001714361071,0.7821917808219178,0.7274165897402084,1.0,7583,7583,76,77
0.9848841683483218,0.6533627162912178,0.9890042006424512,0.7868868573675415,0.7321472695824067,1.0,8094,8094,77,78
0.9723702588801225,0.6487158908507223,0.975265444015444,0.7791594370541739,0.7235762548262549,1.0,8288,8288,78,79
0.9831371836923736,0.6541794609348345,0.9874343392728396,0.7869807913314727,0.7327222165001545,1.0,9709,9709,79,80
0.9707377020482528,0.6458317812709529,0.9742638795234885,0.7767573137404238,0.7199932569116655,1.0,8898,8898,80,81
0.9593436760065701,0.6450449175921341,0.9632407309601775,0.7726656498898492,0.716594486109644,1.0,9467,9467,81,82
0.9789725916463927,0.6489949547529431,0.9809950369204696,0.7811837285521496,0.7252148650284469,1.0,8261,8261,82,83
0.9835830438364038,0.6510126684418623,0.9852240810843815,0.7839860071907492,0.728538283062645,1.0,8189,8189,83,84
0.9711777546625774,0.6488014854827819,0.9747654070504692,0.779061518191953,0.7235607405528786,1.0,7886,7886,84,85
0.9795679498325851,0.6505257332595462,0.9799916631929971,0.7819723931481789,0.7267611504793664,1.0,7197,7197,85,86
0.9830173242966789,0.6509743059148129,0.9880905640622956,0.7848640781745413,0.7291584871090171,1.0,7641,7641,86,87
0.9804257683786869,0.6473106272101247,0.982763492512009,0.7805206463195691,0.7236507487990957,1.0,7078,7078,87,88
0.9846081968779326,0.6521190261496844,0.9863611565739225,0.7851481923786777,0.7300872885979269,1.0,7332,7332,88,89
0.9781173499281597,0.6492624050067054,0.9784424683373754,0.7805664534852474,0.7249393694421988,1.0,7422,7422,89,90
0.9774609484765047,0.6514668627931682,0.979120609186932,0.7823740124638108,0.7276467698354213,1.0,8142,8142,90,91
0.9819653358935735,0.6535065800433116,0.9860500188513259,0.7860542002705004,0.731619957270328,1.0,7957,7957,91,92
0.969194793085844,0.6432955023118958,0.9732892393792928,0.7746115300906008,0.7168023403714068,1.0,7862,7862,92,93
0.9552449999173025,0.6400544341120435,0.956394035246272,0.7668825580868699,0.7092747401717127,1.0,8852,8852,93,94
0.977564590594529,0.6516474464579901,0.984690067214339,0.7842767919103797,0.7291511077918845,1.0,8034,8034,94,95
0.9748532278442664,0.6499526216045484,0.976625533934504,0.7804854921297174,0.7253203607024205,1.0,8428,8428,95,96
0.9660983294720409,0.6457885090445454,0.9691461372877302,0.7750944478982353,0.7187873714422387,1.0,8362,8362,96,97
0.9743849711446749,0.6526560082516761,0.9793628272926609,0.783308402537783,0.729072617051464,1.0,7753,7753,97,98
0.9737421594491388,0.6516158606463442,0.9756348661633494,0.7813659475058403,0.7270075497597803,1.0,8742,8742,98,99
0.9837050197008158,0.6531718472092827,0.9866939611054247,0.786016409315599,0.7313843398157626,1.0,7816,7816,99,100
0.9586318501954452,0.6506091249303289,0.9643573704709076,0.7770064663370103,0.72323852236516,1.0,8473,8473,100,101
0.9749073615369733,0.6509175788795879,0.9790556900726393,0.7819570682653258,0.7269975786924939,1.0,8260,8260,101,102
0.977001070852323,0.6473983532807063,0.9807123569499807,0.7799365988342366,0.7232866143757233,1.0,7777,7777,102,103
0.9822022147394713,0.652040731848663,0.9858555513831518,0.7849312338050628,0.7298785830516961,1.0,7989,7989,103,104
0.9703029164572112,0.6514285714285715,0.9742328110837757,0.7807814040367353,0.7264663990677198,1.0,7723,7723,104,105
0.978998199346332,0.6494894551006776,0.981115756090529,0.781580156178227,0.725818076978521,1.0,6937,6937,105,106
0.9823186585035277,0.6515300205192256,0.9860923575479341,0.7846360461993016,0.7293410748042128,1.0,7406,7406,106,107
0.9775335383288641,0.6485620308678418,0.9801172572011216,0.7805917880525808,0.724509304104002,1.0,7846,7846,107,108
0.9779536661951305,0.6505273250239694,0.9816261574074074,0.7824933687002652,0.7271412037037037,1.0,6912,6912,108,109
0.9792312787210985,0.651786472035984,0.9833546734955185,0.7839534527637422,0.7290012804097311,1.0,7810,7810,109,110
0.9777858088769278,0.6517958083311592,0.9797385620915032,0.7828085017494386,0.7281699346405229,1.0,7650,7650,110,111
0.9834593781096072,0.6552152317880795,0.9897461548080531,0.7884644120137471,0.7344629235963487,1.0,7997,7997,111,112
0.8360710111737705,0.6094904125941953,0.8186191001102315,0.6987426225301514,0.6470588235294118,1.0,9979,9979,112,113
0.9309050530322814,0.6387303572824642,0.9353176874642244,0.7590820403233299,0.7031482541499714,1.0,8735,8735,113,114
0.9586704493785553,0.6483725893741901,0.9678006599158039,0.7765199926967318,0.7214700193423598,1.0,8789,8789,114,115
0.9250009888743717,0.6355700102704553,0.925242960378769,0.7535261288685946,0.6973585846000498,1.0,8026,8026,115,116
0.969697314147153,0.6519667302027379,0.9845610362423133,0.7844670315350534,0.7294910375507,1.0,7643,7643,116,117
0.9653788047531845,0.6469626998223801,0.9695485519591142,0.7760685217539524,0.7202406303236797,1.0,9392,9392,117,118
0.9657064804618175,0.6546518792359828,0.9712065813528337,0.7821126242178874,0.7294332723948812,1.0,8752,8752,118,119
0.9726004046440779,0.6491173976720882,0.9795277422356636,0.7808066759388039,0.725020355938118,1.0,8597,8597,119,120
0.976970041969778,0.6507255422062724,0.9811786848606047,0.7824944884844505,0.727267380308199,1.0,8501,8501,120,121
0.9822201342300494,0.6507732991425595,0.9863962103728896,0.7841830822711472,0.7285315194947164,1.0,8233,8233,121,122
0.9692682866902617,0.6467506060843043,0.9754659117716442,0.7778039031272044,0.7213375796178344,1.0,8478,8478,122,123
0.9728852924059018,0.6449910699788927,0.975205597152326,0.7764475934522356,0.719221799435375,1.0,8147,8147,123,124
0.9813093107371289,0.6497622820919176,0.9845119462120303,0.7828535968303977,0.7269179973586265,1.0,8329,8329,124,125
0.9784745520268954,0.6504961411245865,0.9816971713810316,0.7824933687002652,0.7271214642262895,1.0,9015,9015,125,126
0.9773325650875256,0.6480268413484582,0.9791188895594448,0.7798875162236216,0.7236572118286059,1.0,8285,8285,126,127
0.9802556247805784,0.6479956068094453,0.9826509368494102,0.7809828470575257,0.7244274809160305,1.0,7205,7205,127,128
0.9733086836119774,0.6487787484400072,0.9759957087300523,0.779437751004016,0.7238165482097358,1.0,7457,7457,128,129
0.9621879762357184,0.6418499717992103,0.9622322435174746,0.7700462388632007,0.7126550169109357,1.0,7096,7096,129,130
0.9724593702607216,0.6465030024726245,0.9744442965526421,0.7772999946912991,0.720817250099827,1.0,7513,7513,130,131
